sim_id,N,M,k,theta1,pa,theta2,pb
239,5000,15000,14,0.1,0.99,0.05,0.15
240,5000,15000,14,0.1,0.99,0.05,0.2
241,5000,15000,14,0.1,0.99,0.075,0.01
242,5000,15000,14,0.1,0.99,0.075,0.05
243,5000,15000,14,0.1,0.99,0.075,0.1
244,5000,15000,14,0.1,0.99,0.075,0.15
245,5000,15000,14,0.1,0.99,0.075,0.2
246,5000,15000,14,0.1,0.99,0.1,0.01
247,5000,15000,14,0.1,0.99,0.1,0.05
248,5000,15000,14,0.1,0.99,0.1,0.1
249,5000,15000,14,0.1,0.99,0.1,0.15
250,5000,15000,14,0.1,0.99,0.1,0.2
251,5000,15000,14,0.15,0.8,0.01,0.01
252,5000,15000,14,0.15,0.8,0.01,0.05
253,5000,15000,14,0.15,0.8,0.01,0.1
254,5000,15000,14,0.15,0.8,0.01,0.15
255,5000,15000,14,0.15,0.8,0.01,0.2
256,5000,15000,14,0.15,0.8,0.025,0.01
257,5000,15000,14,0.15,0.8,0.025,0.05
258,5000,15000,14,0.15,0.8,0.025,0.1
259,5000,15000,14,0.15,0.8,0.025,0.15
260,5000,15000,14,0.15,0.8,0.025,0.2
261,5000,15000,14,0.15,0.8,0.05,0.01
262,5000,15000,14,0.15,0.8,0.05,0.05
263,5000,15000,14,0.15,0.8,0.05,0.1
264,5000,15000,14,0.15,0.8,0.05,0.15
265,5000,15000,14,0.15,0.8,0.05,0.2
266,5000,15000,14,0.15,0.8,0.075,0.01
267,5000,15000,14,0.15,0.8,0.075,0.05
268,5000,15000,14,0.15,0.8,0.075,0.1
269,5000,15000,14,0.15,0.8,0.075,0.15
270,5000,15000,14,0.15,0.8,0.075,0.2
271,5000,15000,14,0.15,0.8,0.1,0.01
272,5000,15000,14,0.15,0.8,0.1,0.05
273,5000,15000,14,0.15,0.8,0.1,0.1
274,5000,15000,14,0.15,0.8,0.1,0.15
275,5000,15000,14,0.15,0.8,0.1,0.2
276,5000,15000,14,0.15,0.85,0.01,0.01
277,5000,15000,14,0.15,0.85,0.01,0.05
278,5000,15000,14,0.15,0.85,0.01,0.1
279,5000,15000,14,0.15,0.85,0.01,0.15
280,5000,15000,14,0.15,0.85,0.01,0.2
281,5000,15000,14,0.15,0.85,0.025,0.01
282,5000,15000,14,0.15,0.85,0.025,0.05
283,5000,15000,14,0.15,0.85,0.025,0.1
284,5000,15000,14,0.15,0.85,0.025,0.15
285,5000,15000,14,0.15,0.85,0.025,0.2
286,5000,15000,14,0.15,0.85,0.05,0.01
287,5000,15000,14,0.15,0.85,0.05,0.05
288,5000,15000,14,0.15,0.85,0.05,0.1
289,5000,15000,14,0.15,0.85,0.05,0.15
290,5000,15000,14,0.15,0.85,0.05,0.2
291,5000,15000,14,0.15,0.85,0.075,0.01
292,5000,15000,14,0.15,0.85,0.075,0.05
293,5000,15000,14,0.15,0.85,0.075,0.1
294,5000,15000,14,0.15,0.85,0.075,0.15
295,5000,15000,14,0.15,0.85,0.075,0.2
296,5000,15000,14,0.15,0.85,0.1,0.01
297,5000,15000,14,0.15,0.85,0.1,0.05
298,5000,15000,14,0.15,0.85,0.1,0.1
299,5000,15000,14,0.15,0.85,0.1,0.15
300,5000,15000,14,0.15,0.85,0.1,0.2
301,5000,15000,14,0.15,0.9,0.01,0.01
302,5000,15000,14,0.15,0.9,0.01,0.05
303,5000,15000,14,0.15,0.9,0.01,0.1
304,5000,15000,14,0.15,0.9,0.01,0.15
305,5000,15000,14,0.15,0.9,0.01,0.2
306,5000,15000,14,0.15,0.9,0.025,0.01
307,5000,15000,14,0.15,0.9,0.025,0.05
308,5000,15000,14,0.15,0.9,0.025,0.1
309,5000,15000,14,0.15,0.9,0.025,0.15
310,5000,15000,14,0.15,0.9,0.025,0.2
311,5000,15000,14,0.15,0.9,0.05,0.01
312,5000,15000,14,0.15,0.9,0.05,0.05
313,5000,15000,14,0.15,0.9,0.05,0.1
314,5000,15000,14,0.15,0.9,0.05,0.15
315,5000,15000,14,0.15,0.9,0.05,0.2
316,5000,15000,14,0.15,0.9,0.075,0.01
317,5000,15000,14,0.15,0.9,0.075,0.05
318,5000,15000,14,0.15,0.9,0.075,0.1
319,5000,15000,14,0.15,0.9,0.075,0.15
320,5000,15000,14,0.15,0.9,0.075,0.2
321,5000,15000,14,0.15,0.9,0.1,0.01
322,5000,15000,14,0.15,0.9,0.1,0.05
323,5000,15000,14,0.15,0.9,0.1,0.1
324,5000,15000,14,0.15,0.9,0.1,0.15
325,5000,15000,14,0.15,0.9,0.1,0.2
326,5000,15000,14,0.15,0.95,0.01,0.01
327,5000,15000,14,0.15,0.95,0.01,0.05
328,5000,15000,14,0.15,0.95,0.01,0.1
329,5000,15000,14,0.15,0.95,0.01,0.15
330,5000,15000,14,0.15,0.95,0.01,0.2
331,5000,15000,14,0.15,0.95,0.025,0.01
332,5000,15000,14,0.15,0.95,0.025,0.05
333,5000,15000,14,0.15,0.95,0.025,0.1
334,5000,15000,14,0.15,0.95,0.025,0.15
335,5000,15000,14,0.15,0.95,0.025,0.2
336,5000,15000,14,0.15,0.95,0.05,0.01
337,5000,15000,14,0.15,0.95,0.05,0.05
338,5000,15000,14,0.15,0.95,0.05,0.1
339,5000,15000,14,0.15,0.95,0.05,0.15
340,5000,15000,14,0.15,0.95,0.05,0.2
341,5000,15000,14,0.15,0.95,0.075,0.01
342,5000,15000,14,0.15,0.95,0.075,0.05
343,5000,15000,14,0.15,0.95,0.075,0.1
344,5000,15000,14,0.15,0.95,0.075,0.15
345,5000,15000,14,0.15,0.95,0.075,0.2
346,5000,15000,14,0.15,0.95,0.1,0.01
347,5000,15000,14,0.15,0.95,0.1,0.05
348,5000,15000,14,0.15,0.95,0.1,0.1
349,5000,15000,14,0.15,0.95,0.1,0.15
350,5000,15000,14,0.15,0.95,0.1,0.2
351,5000,15000,14,0.15,0.99,0.01,0.01
352,5000,15000,14,0.15,0.99,0.01,0.05
353,5000,15000,14,0.15,0.99,0.01,0.1
354,5000,15000,14,0.15,0.99,0.01,0.15
355,5000,15000,14,0.15,0.99,0.01,0.2
356,5000,15000,14,0.15,0.99,0.025,0.01
357,5000,15000,14,0.15,0.99,0.025,0.05
358,5000,15000,14,0.15,0.99,0.025,0.1
359,5000,15000,14,0.15,0.99,0.025,0.15
360,5000,15000,14,0.15,0.99,0.025,0.2
361,5000,15000,14,0.15,0.99,0.05,0.01
